Hashtag,Number of times brand tweeted the hashtag,Number of times other people tweeted the hashtag
#youtube*,0,6
#brands*,0,4
#marketing*,0,4
#socialmedia*,0,8
#media*,0,1
#body*,0,2
#climatechange*,0,1
#africa*,0,3
#hiring*,0,1
#innovation*,0,3
#enrich*,0,1
#giveaway*,0,50
#dove*,0,206
#children*,0,1
#realbeauty*,0,22
#selfesteem*,0,8
#riseup*,0,1
#gift*,0,2
#bahrain*,0,5
#holiday*,0,1
#ad*,0,16
#np*,0,1
#sustainable*,0,1
#me*,0,1
#love*,0,1
#ads*,0,1
#charitytuesday*,0,1
#rt*,0,1
#ebay*,0,2
#skincare*,0,6
#parenting*,0,1
#tasty*,0,1
#win*,0,534
#hair*,0,1
#gender*,0,3
#coffee*,0,1
#photography*,0,2
#fail*,0,1
#starbucks*,0,1
#careers*,0,1
#csr*,0,1
#vegan*,0,1
#twitter*,0,1
#advertising*,0,7
#bbloggers*,0,6
#ireland*,0,1
#beauty*,0,7
#protip*,0,1
#campaign*,0,3
#charity*,0,1
#power*,0,1
#crueltyfree*,0,167
#instagram*,0,1
#women*,0,1
#truth*,0,1
#soundcloud*,0,1
#culture*,0,1
#dunkindonuts*,0,1
#birmingham*,0,1
#stereotypes*,0,1
#control*,0,1
#petition*,0,1
#craft*,0,2
#shopping*,0,2
#strategy*,0,1
#repost*,0,1
#confidence*,0,1
#christmasiscoming*,0,1
#branding*,0,1
#united*,0,1
#perfect*,0,1
#millennials*,0,2
#cambridge*,0,1
#winter*,0,1
#inspirational*,0,1
#animals*,0,3
#simple*,0,1
#illustrations*,0,1
#interview*,0,2
#malibu*,0,1
#teen*,0,1
#gujarat*,0,2
#digitalmarketing*,0,1
#rainforest*,0,2
#palmoil*,0,127
#thursday*,0,2
#contentmarketing*,0,3
#hoarding*,0,3
#belfast*,0,1
#holidays*,0,1
#thankful*,0,1
#bblogger*,0,1
#partnership*,0,2
#animalrights*,0,3
#animal*,0,1
#queen*,0,1
#tanning*,0,1
#olay*,0,1
#sabrina*,0,1
#christmas*,0,2
#hygiene*,0,1
#feet*,0,1
#as*,0,1
#school*,0,1
#migraines*,0,1
#victoriassecret*,0,3
#haircare*,0,8
#awareness*,0,1
#ban*,0,1
#unilever*,0,4
#context*,0,1
#thankyouthursday*,0,1
#princeharry*,0,3
#resist*,0,1
#skincancer*,0,1
#reduce*,0,1
#selflove*,0,2
#facial*,0,1
#outdoor*,0,1
#pub*,0,3
#oreo*,0,1
#axe*,0,1
#bodyimage*,0,4
#timessquare*,0,1
#deodorant*,0,2
#womenpower*,0,1
#mentalhealth*,0,1
#impact*,0,1
#deforestation*,0,100
#copywriting*,0,1
#forests*,0,1
#dovead*,0,1
#factfriday*,0,2
#givingback*,0,5
#takeastand*,0,1
#hindus*,0,1
#ayr*,0,1
#thanksgiving*,4,14
#ecosystems*,0,1
#living*,0,1
#movember*,0,2
#fibromyalgia*,0,1
#tories*,0,1
#ahmedabad*,0,2
#liverpool*,0,1
#acne*,0,4
#advertisement*,0,2
#physed*,0,1
#affordable*,0,1
#headandshoulders*,0,1
#gerber*,0,1
#fmcg*,0,3
#crueltyfreebeauty*,0,1
#publi*,0,1
#dobetter*,0,1
#animalwelfare*,0,3
#liberalism*,0,1
#evil*,0,1
#peta*,0,6
#takeaction*,0,1
#noexcuse*,0,1
#freesamp*,0,1
#greenpeace*,0,5
#shampoo*,0,4
#socks*,0,1
#borneo*,0,2
#lynx*,0,1
#littlemix*,0,1
#clorox*,0,1
#productreview*,0,2
#sure*,0,1
#youtuber*,0,1
#garnier*,0,1
#bodyconfidence*,0,3
#hands*,0,1
#plasticpollution*,0,1
#lies*,0,1
#orangutan*,0,2
#ngo*,0,1
#number*,0,1
#notanad*,0,1
#crushingit*,0,1
#facebookads*,0,1
#pinoypride*,0,34
#wilmar*,0,3
#rin*,0,1
#dreamer*,0,34
#advertisingworks*,0,1
#skincaretips*,0,1
#wds*,0,2
#daughter*,0,1
#marketingtips*,0,2
#animaltesting*,0,2
#dunkin*,0,1
#undergarments*,0,1
#animalcruelty*,0,1
#ariel*,0,1
#influencers*,0,1
#shondaland*,0,2
#saturdaymorning*,0,1
#relevance*,0,1
#govegan*,0,5
#veganbeauty*,0,1
#dharavi*,0,1
#palmoilfree*,0,4
#womeninbiz*,0,2
#selfworth*,0,1
#victoriasecret*,0,1
#campfire*,0,2
#youtubers*,0,3
#plantbased*,0,1
#proudlysouthafrican*,0,2
#advertisingagency*,0,1
#conscious*,0,1
#modelos*,0,1
#vegans*,0,1
