Post created at ,Post,Post URL,Post Type,Reactions,Like,Love,Thankful,HaHa,Wow,Sad,Angry,Comments,Shares,Video Plays,Promoted/Organic,Est. Reach,Est. Impressions,Original Sentiment
14/07/2018 11:00,We have that friend who claims to play better than man of the match the friend who insists on being the referee or the one who has to commentate the whole game. Tag that friend who is like that.,http://www.facebook.com/352921961449536/posts/2001864953221887,PHOTO,24,24,0,0,0,0,0,0,5,6,0,ORGANIC,"15,991","26,533",
13/07/2018 11:00,The most caring deodorant NIVEA Protect & Care Deodorant spray gives you the best of both worlds soft care for your underarms and strong protection against sweat. http://bit.ly/2n8LRSz,http://www.facebook.com/352921961449536/posts/1996330433775339,VIDEO,56,56,0,0,0,0,0,0,24,8,351,ORGANIC,"27,128","45,014",Positive
11/07/2018 11:00,Which deo is best for you? Spray or roll-on? The deo spray is convenient and even a short press can keep you fresh all day. The deo roll-on has a handy applicator that evenly distributes the deo. Which one works for you? http://bit.ly/2rAqwHs,http://www.facebook.com/352921961449536/posts/1996320597109656,VIDEO,15,15,0,0,0,0,0,0,17,6,134,ORGANIC,"16,129","26,763",Positive
09/07/2018 11:20,Is it true that using deodorants on freshly shaved skin causes razor burns? Nope. Shaving irritates our delicate underarms. Here are some tips to keep razor burns at bay. http://bit.ly/2rAqwHs,http://www.facebook.com/352921961449536/posts/1996315937110122,VIDEO,47,46,1,0,0,0,0,0,19,8,428,ORGANIC,"27,702","45,965",Positive
06/07/2018 11:49,Watching football makes you a coach referee and player all at once. How do you deal with the emotional rollercoaster that is the game?,http://www.facebook.com/352921961449536/posts/1990524044355978,VIDEO,8,8,0,0,0,0,0,0,2,10,218,ORGANIC,"14,083","23,367",Positive
05/07/2018 11:00,Amina has some tips on how to find the #PerfectBalance between studies your social life  and finances for a wholesome experience. Press play and take notes. https://bit.ly/2sKlo1h,http://www.facebook.com/352921961449536/posts/1986547288086987,VIDEO,43,41,1,0,1,0,0,0,1,8,"2,097",ORGANIC,"18,183","30,170",Positive
04/07/2018 11:30,Knowing you are not alone is a comfort. Kobi and these wonderful ladies shared how they find the #PerfectBalance in their personal lives. https://bit.ly/2JyURur,http://www.facebook.com/352921961449536/posts/1986531008088615,VIDEO,207,195,12,0,0,0,0,0,21,25,"11,846",PROMOTED,"60,102","99,727",Positive
03/07/2018 11:00,Can you really have it all? The career the beautiful kids a social life . Well Anne gave us some tips on how she maintains the #PerfectBalance and we would love to share that with you. https://bit.ly/2LFk07k,http://www.facebook.com/352921961449536/posts/1983608325047550,VIDEO,368,349,15,0,3,1,0,0,25,29,"36,676",PROMOTED,"93,332","154,865",Positive
30/06/2018 11:00,What's the best way to take care of oily skin that gets lots of blemishes? https://bit.ly/2H2Vz65,http://www.facebook.com/352921961449536/posts/1959431240798592,PHOTO,65,64,1,0,0,0,0,0,15,9,0,ORGANIC,"25,076","41,609",Positive
29/06/2018 11:06,Stay tuned to find out how Kobi and ten wonderful ladies are working on finding the #PerfectBalance. https://bit.ly/2JyURur,http://www.facebook.com/352921961449536/posts/1976217452453304,VIDEO,68,65,2,0,0,0,1,0,19,13,"1,251",ORGANIC,"28,040","46,526",Positive
27/06/2018 17:47,Healthy body healthy mind. This is how Anne is helping us to find the #PerfectBalance. Stay tuned for more on this journey she shared with some amazing ladies. https://bit.ly/2LFk07k,http://www.facebook.com/352921961449536/posts/1972975266110856,VIDEO,99,98,1,0,0,0,0,0,2,9,"65,945",ORGANIC,"31,041","51,507",Positive
27/06/2018 11:15,Three ladies three #PerfectBalance surprises. Keep it NIVEA to experience this journey with the lovely Amina Abdi-Rabar. https://bit.ly/2sKlo1h,http://www.facebook.com/352921961449536/posts/1972410562833993,VIDEO,332,317,12,0,1,2,0,0,22,22,"183,051",ORGANIC,"73,515","121,983",Positive
26/06/2018 12:19,Healthy body healthy mind. This is how Anne is helping us to find the #PerfectBalance. Stay tuned for more on this journey she shared with some amazing ladies. https://bit.ly/2LFk07k,http://www.facebook.com/352921961449536/posts/1970674123007637,VIDEO,0,0,0,0,0,0,0,0,0,13,677,Insufficient data,"16,982","28,178",Positive
21/06/2018 11:00,When you take care of your face it shows! Beautiful skin begins with a proper skincare routine. Clean your face twice a day and moisturize for healthy glowing skin. https://bit.ly/2Ife4k2,http://www.facebook.com/352921961449536/posts/1959424620799254,PHOTO,838,835,3,0,0,0,0,0,143,21,0,PROMOTED,"146,720","243,452",Positive
20/06/2018 11:00,It's all in the technique. How do you apply your face cream? Here is our recommendation. https://bit.ly/2wkgrAI,http://www.facebook.com/352921961449536/posts/1942740799134303,VIDEO,268,267,1,0,0,0,0,0,8,22,"78,996",ORGANIC,"66,232","109,898",Positive
19/06/2018 11:00,Water on its own doesn’t have the ability to remove oil-soluble dirt like makeup and excess sebum. Actually washing your face with warm or even hot water could dry out the skin. Use face products suitable for your skin type. https://bit.ly/2Ife4k2,http://www.facebook.com/352921961449536/posts/1942744842467232,VIDEO,127,121,6,0,0,0,0,0,35,19,"33,180",ORGANIC,"39,620","65,741",Positive
18/06/2018 11:00,Get that extra confidence to take on your day. How do you stay balanced throughout the different areas in your life? https://bit.ly/2LFk07k,http://www.facebook.com/352921961449536/posts/1942737502467966,PHOTO,339,332,2,0,2,2,0,1,2,19,0,PROMOTED,"45,404","75,339",Positive
17/06/2018 11:00,They are behind our treasured memories and our brightest smiles. They give freely and love us deeply. What’s your fondest memory of your dad? Share with us in the comments section below.,http://www.facebook.com/352921961449536/posts/1946624962079220,VIDEO,225,224,1,0,0,0,0,0,4,36,"21,604",PROMOTED,"64,844","107,595",Positive
16/06/2018 11:00,From helping us take our first steps to continously being our greatest teachers. What’s that one thing dad has taught you that you will never forget? Share your life lessons from your dad in the comments section below.,http://www.facebook.com/352921961449536/posts/1946624435412606,PHOTO,809,806,2,0,0,1,0,0,33,15,0,PROMOTED,"115,574","191,771",Positive
15/06/2018 13:00,We know that school can become your life and sometimes you just need to exhale? How do you find the #PerfectBalance between school and your social life?  https://bit.ly/2sKlo1h,http://www.facebook.com/352921961449536/posts/1942725832469133,VIDEO,18,18,0,0,0,0,0,0,5,12,425,ORGANIC,"19,403","32,196",Positive
15/06/2018 10:00,Eid Mubarak to you and your loved ones! Wishing you happiness prosperity and peace on this day.,http://www.facebook.com/352921961449536/posts/1948504281891288,PHOTO,465,461,4,0,0,0,0,0,25,12,0,ORGANIC,"84,404","140,051",Positive
14/06/2018 11:00,Standing in line next to someone with not so fresh underarms is the worst feeling isn't it ? http://bit.ly/2rAqwHs,http://www.facebook.com/352921961449536/posts/1942735585801491,PHOTO,"1,100","1,088",4,0,7,0,0,1,27,15,0,PROMOTED,"94,092","156,127",Positive
13/06/2018 16:00,The excitement is so contagious. It all comes down to this. Where will you be watching the opening ceremony from?,http://www.facebook.com/352921961449536/posts/1945360105539039,PHOTO,67,63,4,0,0,0,0,0,20,19,0,ORGANIC,"22,319","37,033",Positive
13/06/2018 11:00,Being a mom means being at the centre of everyone’s universe not just your own. How do you find time for some me time? #PerfectBalance https://bit.ly/2LFk07k,http://www.facebook.com/352921961449536/posts/1942721305802919,VIDEO,581,550,21,0,8,2,0,0,88,21,"147,585",PROMOTED,"175,149","290,624",Positive
12/06/2018 11:00,You know those people in the bus who raise their hands and everyone flees? Don't be one of them. ???????? http://bit.ly/2rAqwHs,http://www.facebook.com/352921961449536/posts/1942731932468523,PHOTO,511,497,7,0,7,0,0,0,26,21,0,PROMOTED,"56,544","93,823",Positive
11/06/2018 11:00,Sometimes finding the #PerfectBalance is all about the people in your inner circle and self love. Tag the friends and family that keep you grounded and share with us how you try to find the #PerfectBalance between being true to yourself and keeping other people happy. https://bit.ly/2JyURur,http://www.facebook.com/352921961449536/posts/1942717999136583,VIDEO,55,53,2,0,0,0,0,0,4,14,"4,186",ORGANIC,"16,107","26,726",Positive
08/06/2018 11:00,Did you know that the different skin types need different face care? Dry skin and oily skin have totally different needs! https://bit.ly/2H2Vz65,http://www.facebook.com/352921961449536/posts/1907791155962601,PHOTO,133,132,1,0,0,0,0,0,22,20,0,ORGANIC,"40,670","67,483",Positive
04/06/2018 11:00,Campus life and financial management  is not easy Amina Abdi-Rabar shares her experience. Would you like to meet Amina for a chance to share your experience too? Find her on Instagram here : https://www.instagram.com/amina_kenya or twitter here:  https://bit.ly/2s71ywW  and you could  be one of her lucky fans who get a suprise !,http://www.facebook.com/352921961449536/posts/1929558323785884,VIDEO,362,332,27,0,0,3,0,0,29,32,"99,837",PROMOTED,"91,615","152,017",Positive
01/06/2018 13:00,Can  you have it all? Well you can ask Anne how she finds the #PerfectBalance between being a busy career woman and  mother of three . If you want to know more about her journey she has all the details for you on her instagram page here: https://bit.ly/2k3IYl5 . Join the conversation and you could also be one of her lucky fans who gets to win a surprise!,http://www.facebook.com/352921961449536/posts/1927039224037794,VIDEO,397,385,10,0,0,2,0,0,30,49,"45,776",PROMOTED,"137,941","228,885",Positive
01/06/2018 12:10,Today we celebrate all Kenyans who are working towards building a greater nation. Happy Madaraka Day!,http://www.facebook.com/352921961449536/posts/1929711170437266,PHOTO,"1,796","1,785",8,0,1,2,0,0,27,30,0,ORGANIC,"127,531","211,612",Positive
31/05/2018 11:00,Live laugh love. Self-love is the ultimate goal but we all know that the #PerfectBalance between living your best life and making others happy is not easy. You can join Kobi and discuss this on her Instagram page here: https://bit.ly/2IKfDdh. She also has goodies up for grabs for some lucky fans! http://bit.ly/2rAqwHs,http://www.facebook.com/352921961449536/posts/1927034270704956,VIDEO,310,296,14,0,0,0,0,0,38,38,"81,202",PROMOTED,"88,393","146,670",Positive
